Murder,8337
Robbery - Murder,2451
Rape,920
,628
unknown,407
Rape - Murder,398
Slave Revolt,258
Housebreaking - Burglary,249
Robbery,158
Robbery - Murder Injection,154
Murder - Burglary,146
Piracy,130
Murder Injection,128
Unspecified Felony,107
Arson,97
Attempted Rape,81
Murder Electrocution,78
Attempted Murder,60
Murder - Rape - Robbery,60
Poisoning,59
Horse Stealing,51
Robbery - Murder Electrocution,46
Conspiracy to Murder,44
Rape - Murder Injection,44
Conspiracy  to Murder,43
Treason,43
Kidnapping - Murder,40
Rape - Robbery,40
Desertion,40
Accessory to Murder,36
Witchcraft,35
Counterfeiting,31
Kidnapping - Murder - Robbery Injection,30
Kidnapping - Murder Injection,29
Espionage,25
Other,23
Theft,23
Murder - Burglary Injection,23
Forgery,21
Rape - Murder Electrocution,20
Arson - Murder,20
Aid Runaway Slave,20
Murder Gas,18
Rape Electrocution,17
Burglary - Attempted Rape,16
unknown Injection,14
Sodomy-Buggery-Bestiality,13
Robbery - Murder Gas,12
Murder - Rape - Robbery Injection,12
Conspiracy  to Murder Injection,11
Kidnapping,11
unknown Electrocution,11
Arson - Murder Injection,10
Rape Gas,8
Guerilla Activity,7
Rape - Murder Gas,6
Concealing Birth,4
Rioting,4
Kidnapping - Murder - Robbery Electrocution,4
Robbery - Murder Hanging,3
Kidnapping - Murder - Robbery Gas,3
Kidnapping - Murder Electrocution,3
Rape - Murder Hanging,3
Murder - Rape - Robbery Gas,3
Adultery,2
Sodomy - Buggery - Bestiality,2
Murder - Burglary Gas,2
Murder - Rape - Robbery Electrocution,2
Espionage Electrocution,2
Prison Break and Kidnapping,2
Murder - Burglary Electrocution,2
Criminal Assault Gas,1
unknown Hanging,1
Rape Hanging,1
Rape - Robbery Electrocution,1
Murder Hanging,1
Housebreaking - Buggery,1
Conspiracy  to Murder Electrocution,1
Arson - Murder Electrocution,1
