PERIOD,Bludgeoned,Break on Wheel,Burned,Electrocution,Firing Squad,Gas,Gibbeted,Hanging,Hung in Chains,Injection,Lethal Injection ,Missing,Other,Pressing,Shot,Unknown
1610,,,,,,,,,,,,,,,1.0,
1620,,,,,,,,1.0,,,,,,,,
1625,,,,,,,,2.0,,,,,,,,
1630,,,,,,,,2.0,,,,,,,,
1635,,,,,,,,3.0,,,,,,,,
1640,,,,,,,,10.0,,,,,1.0,,,
1645,,,,,,,,6.0,,,,,,,,
1650,,,,,,,,6.0,,,,,,,,
1655,,,,,,,,9.0,,,,,,,1.0,
1660,,,,,,,,16.0,,,,,1.0,,,
1665,,,,,,,,1.0,,,,,,,,
1670,,,,,,,,9.0,,,,,,,1.0,
1675,,,,,,,,15.0,,,,,,,9.0,3.0
1680,,,1.0,,,,,4.0,,,,,,,,
1685,,,,,,,,3.0,,,,,,,2.0,
1690,,,,,,,,41.0,,,,,,1.0,,
1695,,,,,,,,10.0,,,,,,,,
1700,,,,,,,3.0,9.0,,,,,,,,
1705,1.0,,,,,,,15.0,,,,,,,,
1710,,1.0,5.0,,,,,23.0,1.0,,,,,,,2.0
1715,,,4.0,,,,,15.0,,,,,,,,
1720,,,1.0,,,,,34.0,4.0,,,,,,,3.0
1725,,,,,,,,44.0,,,,,1.0,,,
1730,,7.0,3.0,,,,,18.0,,,,,,,,
1735,,,2.0,,,,,43.0,,,,,,,,
1740,,,16.0,,,,,86.0,1.0,,,,,,,1.0
1745,,,3.0,,,,1.0,27.0,2.0,,,,,,,1.0
1750,,1.0,5.0,,,,,44.0,,,,,,,,
1755,,3.0,2.0,,,,1.0,36.0,,,,,1.0,,,
1760,,,2.0,,,,1.0,43.0,,,,,,,,
1765,,,,,,,,68.0,,,,,,,,1.0
1770,,,4.0,,,,,120.0,,,,,,,7.0,1.0
1775,,,2.0,,,,,97.0,,,,,,,4.0,2.0
1780,,,4.0,,,,,119.0,,,,,3.0,,11.0,
1785,,,2.0,,,,,148.0,,,,,,,,2.0
1790,,,2.0,,,,,108.0,,,,,,,,1.0
1795,,,,,,,,105.0,,,,,,,1.0,23.0
1800,,,3.0,,,,,134.0,,,,,,,1.0,
1805,,,2.0,,,,,72.0,,,,,,,,
1810,1.0,,,,,,,71.0,,,,,16.0,,1.0,
1815,,,,,,,,79.0,,,,,,,7.0,
1820,,,1.0,,,,,197.0,,1.0,,,1.0,,1.0,
1825,,,2.0,,,,,169.0,,,,,,,8.0,
1830,,,,,,,,164.0,,,,,,,5.0,
1835,,,,,,,,172.0,,,,,,,,
1840,,,,,,,,158.0,,,,,,,6.0,1.0
1845,,,,,,,,169.0,,,,,,,3.0,
1850,,,,,,,,222.0,,,,,,,2.0,
1855,,,,,,,,292.0,,,,,,,1.0,
1860,,,,,,,,331.0,,,,,,,2.0,
1865,,,,,,,,283.0,,,,,,,10.0,2.0
1870,,,,,,,,167.0,,,,,,,1.0,
1875,,,,,,,,309.0,,,,,,,0.0,
1880,,,,,,,,489.0,,,,,,,6.0,
1885,,,,,,,,526.0,,,,,,,8.0,
1890,,,,11.0,,,,467.0,,,,,,,2.0,
1895,,,,35.0,,,,539.0,,,,,,,10.0,
1900,,,,32.0,,,,537.0,,,,,,,1.0,
1905,,,,62.0,,,,604.0,,,,,,,2.0,
1910,,,,180.0,,,,466.0,,,,,,,4.0,
1915,,,,233.0,,,,279.0,1.0,,,,,,3.0,
1920,,,,324.0,,,,210.0,,,,,,,4.0,
1925,,,,418.0,,2.0,,234.0,,,,,,,6.0,
1930,,,,510.0,,3.0,,193.0,,,,,,,,
1935,,,,636.0,,50.0,,187.0,,,,,,,1.0,
1940,,,,501.0,,117.0,,87.0,,,,38.0,,,2.0,
1945,,,,431.0,,133.0,,60.0,,,,38.0,,,3.0,
1950,,,,356.0,,84.0,,22.0,,,,38.0,,,2.0,
1955,,,,226.0,,76.0,,16.0,,,,38.0,,,3.0,
1960,,,,144.0,,57.0,,7.0,,,,38.0,,,1.0,
1965,,,,26.0,,14.0,,6.0,,,,,,,,
1975,,,,,,,,,,,,,,,1.0,
1980,,,,3.0,,1.0,,,,1.0,,,,,,
1985,,,,55.0,,3.0,,,,30.0,,,,,,
1990,,,,23.0,,1.0,,,,23.0,,36.0,,,,
1995,,,,12.0,,,,1.0,,61.0,,168.0,,,1.0,
2000,,,,,,,,,,74.0,,311.0,,,,
2005,,,,4.0,,,,,,,275.0,,,,,
2010,,,,3.0,1.0,,,,,,217.0,,,,,
2015,,,,1.0,,,,,,,127.0,,,,,
